DonorID,Name,BloodGroup,Age,Phone,Available,Eligible,LocationID
D001,Amal Perera,B-,24,783197857,Unavailable,No,L001
D002,Saman Peris,A+,31,741227216,Unavailable,No,L002
D003,Hiruni Peris,B-,46,789089901,Available,Yes,L003
D004,Tharushi Perera,O+,31,755176955,Available,Yes,L004
D005,Amal Silva,A-,20,771662963,Unavailable,No,L004
D006,Malsha Silva,A-,54,735808537,Unavailable,Yes,L003
D007,Saman Perera,AB+,42,747308985,Available,Yes,L005
D008,Chathura Wijesinghe,AB-,59,719583482,Unavailable,No,L004
D009,Dinithi Fernando,B+,58,784752529,Unavailable,No,L006
D010,Nadeesha Wijesinghe,B-,35,718883684,Unavailable,Yes,L002
D011,Rameshwaram Seneviratne,B-,27,745551614,Unavailable,Yes,L006
D012,Nimesha Jayasuriya,O+,32,728566572,Unavailable,No,L007
D013,Farveez Maharoof,A+,58,731472420,Unavailable,No,L005
D014,Hansani Abeykoon,O+,51,743744231,Unavailable,No,L008
D015,Dimuth Karunaratne,AB+,36,768353204,Unavailable,No,L004
D016,Shalini Gamage,AB+,58,750056581,Available,Yes,L003
D017,Avishka Mendis,B+,52,781182864,Unavailable,No,L004
D018,Udeni Wettimuny,O-,41,751273847,Unavailable,No,L002
D019,Kaveen Jayasuriya,A-,52,726879290,Available,Yes,L005
D020,Surangi Perera,AB+,31,782383095,Unavailable,Yes,L003
D021,Chamika Premadasa,AB-,25,743273328,Unavailable,Yes,L006
D022,Nilanthi Mahanama,A+,55,739557077,Available,Yes,L007
D023,Janith Liyanage,B-,39,719510312,Unavailable,No,L005
D024,Bhashini Rajapaksa,O-,54,787337818,Available,No,L001
D025,Dunith Athukorala,O+,24,798447167,Unavailable,No,L001
D026,Kavindi Ratnayake,O+,59,796728778,Unavailable,No,L006
D027,Dushan Abeykoon,AB-,30,781979055,Available,No,L005
D028,Tharanga Warnakulasuriya,B+,22,769476001,Available,Yes,L009
D029,Nuwan Ratnayake,A+,44,775181648,Available,Yes,L005
D030,Dilki Mendis,A+,42,745594951,Available,No,L010
D031,Hasini Wickramasinghe,O-,31,717849494,Unavailable,No,L010
D032,Chamara Karunaratne,AB-,55,773993471,Unavailable,No,L002
D033,Dilini Bogollagama,A+,29,719196777,Unavailable,No,L003
D034,Wanindu Samarawickrama,O+,55,789795010,Available,Yes,L005
D035,Ruvini Seneviratne,O+,34,737415205,Unavailable,No,L007
D036,Pathum Jayawardena,O+,47,752436584,Unavailable,No,L010
D037,Ashani Priyanjan,A-,50,745594597,Available,Yes,L005
D038,Charith Herath,B-,46,782909480,Available,Yes,L004
D039,Vinuri Wickramaratne,AB+,34,725492573,Unavailable,No,L005
D040,Bhanuka Rajapaksa,AB+,39,737326368,Available,No,L009
D041,Devmini Karunaratne,AB+,58,766851377,Unavailable,No,L002
D042,Lahiru Kulatunga,AB-,28,769302158,Unavailable,Yes,L010
D043,Sewwandi Kulatunga,A-,52,714835614,Available,Yes,L005
D044,Pramod Madushan,O+,37,758942697,Unavailable,No,L010
D045,Parami Edirisinghe,B-,57,730743797,Unavailable,Yes,L005
D046,Maheesh Edirisinghe,O+,44,799913412,Unavailable,Yes,L002
D047,Senuri Jayawardena,A-,48,739854548,Unavailable,No,L008
D048,Ashen Chandrasiri,AB+,60,735921441,Available,No,L001
D049,Gayani Illangasinghe,A-,52,754446182,Unavailable,No,L009
D050,Roshan Dissanayake,B+,24,790070438,Available,No,L007
D051,Shashini Chandrasiri,O+,42,787388337,Available,Yes,L007
D052,Dhananjaya Senaratne,O+,41,767887757,Available,Yes,L002
D053,Piyumi Herath,A-,60,764813568,Unavailable,No,L009
D054,Nuwanidu Illangasinghe,B+,29,792613013,Unavailable,Yes,L001
D055,Nethmi Senaratne,A+,45,787844239,Available,No,L009
D056,Matheesha Wickramaratne,O-,50,773509974,Available,No,L006
D057,Shanika Samarawickrama,AB-,32,736726767,Unavailable,Yes,L005
D058,Yasiru Kulasekara,B-,47,765625330,Available,Yes,L006
D059,Yuresha Kulasekara,O-,59,710744212,Available,No,L008
D060,Vishwa Ranatunga,B+,53,743446826,Available,Yes,L003
D061,Rashmi Dissanayake,O-,46,792228802,Unavailable,Yes,L003
D062,Dasun Bogollagama,B+,33,795585469,Unavailable,Yes,L006
D063,Chathurika Premadasa,B-,36,741473195,Available,No,L009
D064,Ramesh Aluvihare,A-,32,761410126,Unavailable,No,L010
D065,Oshadi Liyanage,O+,44,718357162,Unavailable,Yes,L008
D066,Dhanushka Ekanayake,A+,18,757212267,Unavailable,Yes,L007
D067,Janani Aluvihare,B-,45,775181765,Unavailable,Yes,L006
D068,Shehan Gamage,O+,57,781688860,Available,Yes,L010
D069,Bhagya Ekanayake,A-,47,734391257,Unavailable,No,L008
D070,Dilantha Fonseka,AB-,39,760885459,Unavailable,No,L001
D071,Dilrukshi Fonseka,A-,52,716990811,Unavailable,No,L006
D072,Lahiru Senanayake,A+,19,793394260,Available,No,L002
D073,Isuri Cooray,O-,47,744392446,Available,Yes,L005
D074,Mahela Tillakaratne,B+,55,713446499,Unavailable,No,L009
D075,Lashanthi Senanayake,O+,55,794187049,Unavailable,No,L001
D076,Kumar Mahanama,A-,40,781503856,Unavailable,No,L007
D077,Madhuri Tillakaratne,AB-,24,768186525,Unavailable,No,L002
D078,Tillakaratne Warnakulasuriya,O+,57,782232344,Unavailable,Yes,L010
D079,Kanchana Mahanama,AB+,35,770505620,Available,Yes,L004
D080,Marvan Kaluwitharana,AB-,29,775437844,Unavailable,No,L002
D081,Menaka Kaluwitharana,AB-,53,711362459,Unavailable,Yes,L009
D082,Muttiah Gurusinha,B-,48,796691619,Available,No,L008
D083,Champa Gurusinha,A-,33,751098277,Unavailable,Yes,L009
D084,Upul Wettimuny,AB-,40,770900658,Unavailable,Yes,L008
D085,Chaminda Vaas,B-,25,781922443,Unavailable,No,L005
D086,Romesh Wickramasinghe,O-,24,736054020,Unavailable,Yes,L009
D087,Hiranthi Gurunada,B+,52,726989677,Unavailable,No,L009
D088,Aravinda Dissanayake,AB+,24,711646234,Unavailable,Yes,L010
D089,Ramani Wickramasinghe,O-,21,743887075,Available,Yes,L006
D090,Sanath Jayasundara,O+,54,794482772,Unavailable,No,L006
D091,Anusha Dissanayake,AB+,53,765857931,Available,Yes,L005
D092,Asanka Gurusinha,O+,55,767556566,Unavailable,Yes,L006
D093,Sandya Jayasundara,A-,34,798641164,Available,No,L001
