UserID,Username,Password,Role,LinkedID,Approved
USR0,admin,admin123,ADMIN,ADMIN,true
USR1,hospital_kandy,kandy123,HOSPITAL,H001,true
USR2,hospital_colombo,colombo123,HOSPITAL,H002,true
USR3,hospital_anuradhapura,anura123,HOSPITAL,H003,true
USR4,hospital_matara,matara123,HOSPITAL,H004,true
USR5,hospital_gampaha,gampaha123,HOSPITAL,H005,true
USR6,hospital_negombo,negombo123,HOSPITAL,H006,true
USR7,hospital_jaffna,jaffna123,HOSPITAL,H007,true
USR8,hospital_kurunegala,kurunegala123,HOSPITAL,H008,true
USR9,hospital_galle,galle123,HOSPITAL,H009,true
USR10,hospital_kalutara,kalutara123,HOSPITAL,H010,true
USR11,bank_kandy,kandy123,BLOOD_BANK,B001,true
USR12,bank_colombo,colombo123,BLOOD_BANK,B002,true
USR13,bank_anuradhapura,anura123,BLOOD_BANK,B003,true
USR14,bank_matara,matara123,BLOOD_BANK,B004,true
USR15,bank_gampaha,gampaha123,BLOOD_BANK,B005,true
USR16,bank_negombo,negombo123,BLOOD_BANK,B006,true
USR17,bank_jaffna,jaffna123,BLOOD_BANK,B007,true
USR18,bank_kurunegala,kurunegala123,BLOOD_BANK,B008,true
USR19,bank_galle,galle123,BLOOD_BANK,B009,true
USR20,bank_kalutara,kalutara123,BLOOD_BANK,B010,true
USR21,donor_amal,amal123,DONOR,D001,true
USR22,donor_saman,saman123,DONOR,D002,true
USR23,donor_hiruni,hiruni123,DONOR,D003,true
USR24,donor_tharushi,tharushi123,DONOR,D004,true
USR25,donor_amalsilva,amalsilva123,DONOR,D005,true
USR26,donor_malsha,malsha123,DONOR,D006,true
USR27,donor_samanp,samanp123,DONOR,D007,true
USR28,donor_chathura,chathura123,DONOR,D008,true
USR29,donor_dinithi,dinithi123,DONOR,D009,true
USR30,donor_nadeesha,nadeesha123,DONOR,D010,true
USR31,donor_rameshwaram,rameshwaram123,DONOR,D011,true
USR32,donor_nimesha,nimesha123,DONOR,D012,true
USR33,donor_farveez,farveez123,DONOR,D013,true
USR34,donor_hansani,hansani123,DONOR,D014,true
USR35,donor_dimuth,dimuth123,DONOR,D015,true
USR36,donor_shalini,shalini123,DONOR,D016,true
USR37,donor_avishka,avishka123,DONOR,D017,true
USR38,donor_udeni,udeni123,DONOR,D018,true
USR39,donor_kaveen,kaveen123,DONOR,D019,true
USR40,donor_surangi,surangi123,DONOR,D020,true
USR41,donor_chamika,chamika123,DONOR,D021,true
USR42,donor_nilanthi,nilanthi123,DONOR,D022,true
USR43,donor_janith,janith123,DONOR,D023,true
USR44,donor_bhashini,bhashini123,DONOR,D024,true
USR45,donor_dunith,dunith123,DONOR,D025,true
USR46,donor_kavindi,kavindi123,DONOR,D026,true
USR47,donor_dushan,dushan123,DONOR,D027,true
USR48,donor_tharanga,tharanga123,DONOR,D028,true
USR49,donor_nuwan,nuwan123,DONOR,D029,true
USR50,donor_dilki,dilki123,DONOR,D030,true
